CENSUS TRACT,COUNTY,COMMUNITY IMPACT SCORE,,
"Census Tract 1128, Lackawanna County, Pennsylvania",Lackawanna,2,,
"Census Tract 1129.01, Lackawanna County, Pennsylvania",Lackawanna,1,,
"Census Tract 1129.02, Lackawanna County, Pennsylvania",Lackawanna,1.5,,
"Census Tract 1, Lancaster County, Pennsylvania",Lancaster,5,,
"Census Tract 10, Lancaster County, Pennsylvania",Lancaster,5,,
"Census Tract 101.01, Lancaster County, Pennsylvania",Lancaster,1.5,,
"Census Tract 101.02, Lancaster County, Pennsylvania",Lancaster,3,,
"Census Tract 102.01, Lancaster County, Pennsylvania",Lancaster,1.5,,
"Census Tract 102.02, Lancaster County, Pennsylvania",Lancaster,1.5,,
"Census Tract 103, Lancaster County, Pennsylvania",Lancaster,1,,
"Census Tract 104, Lancaster County, Pennsylvania",Lancaster,3.5,,
"Census Tract 105.01, Lancaster County, Pennsylvania",Lancaster,1,,
"Census Tract 105.02, Lancaster County, Pennsylvania",Lancaster,2,,
"Census Tract 106, Lancaster County, Pennsylvania",Lancaster,2,,
"Census Tract 107.01, Lancaster County, Pennsylvania",Lancaster,3.5,,
"Census Tract 107.02, Lancaster County, Pennsylvania",Lancaster,4,,
"Census Tract 108.01, Lancaster County, Pennsylvania",Lancaster,1,,
"Census Tract 108.02, Lancaster County, Pennsylvania",Lancaster,1.5,,
"Census Tract 109, Lancaster County, Pennsylvania",Lancaster,3,,
"Census Tract 11, Lancaster County, Pennsylvania",Lancaster,4.5,,
"Census Tract 110, Lancaster County, Pennsylvania",Lancaster,4,,
"Census Tract 111, Lancaster County, Pennsylvania",Lancaster,1,,
"Census Tract 112, Lancaster County, Pennsylvania",Lancaster,5,,
"Census Tract 113, Lancaster County, Pennsylvania",Lancaster,3.5,,
"Census Tract 114, Lancaster County, Pennsylvania",Lancaster,4,,
"Census Tract 115.02, Lancaster County, Pennsylvania",Lancaster,2,,
"Census Tract 115.03, Lancaster County, Pennsylvania",Lancaster,2,,
"Census Tract 115.04, Lancaster County, Pennsylvania",Lancaster,2,,
"Census Tract 116, Lancaster County, Pennsylvania",Lancaster,2,,
"Census Tract 117.01, Lancaster County, Pennsylvania",Lancaster,1.5,,
"Census Tract 117.03, Lancaster County, Pennsylvania",Lancaster,1,,
"Census Tract 117.04, Lancaster County, Pennsylvania",Lancaster,1.5,,
"Census Tract 117.05, Lancaster County, Pennsylvania",Lancaster,2,,
"Census Tract 118.01, Lancaster County, Pennsylvania",Lancaster,1,,
"Census Tract 118.02, Lancaster County, Pennsylvania",Lancaster,2,,
"Census Tract 118.03, Lancaster County, Pennsylvania",Lancaster,1,,
"Census Tract 118.04, Lancaster County, Pennsylvania",Lancaster,1.5,,
"Census Tract 118.05, Lancaster County, Pennsylvania",Lancaster,3.5,,
"Census Tract 119.01, Lancaster County, Pennsylvania",Lancaster,1.5,,
"Census Tract 119.02, Lancaster County, Pennsylvania",Lancaster,2,,
"Census Tract 12, Lancaster County, Pennsylvania",Lancaster,3,,
"Census Tract 120.01, Lancaster County, Pennsylvania",Lancaster,2,,
"Census Tract 120.02, Lancaster County, Pennsylvania",Lancaster,3,,
"Census Tract 121.02, Lancaster County, Pennsylvania",Lancaster,2,,
"Census Tract 121.03, Lancaster County, Pennsylvania",Lancaster,1.5,,
"Census Tract 121.04, Lancaster County, Pennsylvania",Lancaster,1.5,,
"Census Tract 122, Lancaster County, Pennsylvania",Lancaster,3.5,,
"Census Tract 123.01, Lancaster County, Pennsylvania",Lancaster,4,,
"Census Tract 123.02, Lancaster County, Pennsylvania",Lancaster,3.5,,
"Census Tract 124.02, Lancaster County, Pennsylvania",Lancaster,3,,
"Census Tract 124.03, Lancaster County, Pennsylvania",Lancaster,2,,
"Census Tract 124.04, Lancaster County, Pennsylvania",Lancaster,2,,
"Census Tract 125.01, Lancaster County, Pennsylvania",Lancaster,2,,
"Census Tract 125.02, Lancaster County, Pennsylvania",Lancaster,2.5,,
"Census Tract 126.01, Lancaster County, Pennsylvania",Lancaster,2.5,,
"Census Tract 126.02, Lancaster County, Pennsylvania",Lancaster,2,,
"Census Tract 127, Lancaster County, Pennsylvania",Lancaster,3,,
"Census Tract 128, Lancaster County, Pennsylvania",Lancaster,2,,
"Census Tract 129, Lancaster County, Pennsylvania",Lancaster,2,,
"Census Tract 130, Lancaster County, Pennsylvania",Lancaster,2,,
"Census Tract 131.01, Lancaster County, Pennsylvania",Lancaster,4,,
"Census Tract 131.02, Lancaster County, Pennsylvania",Lancaster,3.5,,
"Census Tract 132.02, Lancaster County, Pennsylvania",Lancaster,2,,
"Census Tract 132.03, Lancaster County, Pennsylvania",Lancaster,2,,
"Census Tract 132.04, Lancaster County, Pennsylvania",Lancaster,2,,
"Census Tract 133.01, Lancaster County, Pennsylvania",Lancaster,1,,
"Census Tract 133.03, Lancaster County, Pennsylvania",Lancaster,1.5,,
"Census Tract 133.04, Lancaster County, Pennsylvania",Lancaster,1.5,,
"Census Tract 134, Lancaster County, Pennsylvania",Lancaster,3.5,,
"Census Tract 135.01, Lancaster County, Pennsylvania",Lancaster,2.5,,
"Census Tract 135.02, Lancaster County, Pennsylvania",Lancaster,2,,
"Census Tract 135.03, Lancaster County, Pennsylvania",Lancaster,1.5,,
"Census Tract 136.01, Lancaster County, Pennsylvania",Lancaster,1.5,,
"Census Tract 136.02, Lancaster County, Pennsylvania",Lancaster,3,,
"Census Tract 137.01, Lancaster County, Pennsylvania",Lancaster,2.5,,
"Census Tract 137.02, Lancaster County, Pennsylvania",Lancaster,2.5,,
"Census Tract 138, Lancaster County, Pennsylvania",Lancaster,1,,
"Census Tract 139.01, Lancaster County, Pennsylvania",Lancaster,2.5,,
"Census Tract 139.02, Lancaster County, Pennsylvania",Lancaster,2,,
"Census Tract 14, Lancaster County, Pennsylvania",Lancaster,4.5,,
"Census Tract 140, Lancaster County, Pennsylvania",Lancaster,2,,
"Census Tract 141.01, Lancaster County, Pennsylvania",Lancaster,3.5,,
"Census Tract 141.02, Lancaster County, Pennsylvania",Lancaster,2,,
"Census Tract 142.01, Lancaster County, Pennsylvania",Lancaster,2,,
"Census Tract 142.02, Lancaster County, Pennsylvania",Lancaster,2,,
"Census Tract 143, Lancaster County, Pennsylvania",Lancaster,2.5,,
"Census Tract 144.01, Lancaster County, Pennsylvania",Lancaster,2,,
"Census Tract 144.02, Lancaster County, Pennsylvania",Lancaster,3,,
"Census Tract 145.01, Lancaster County, Pennsylvania",Lancaster,1.5,,
"Census Tract 145.02, Lancaster County, Pennsylvania",Lancaster,2,,
"Census Tract 146.01, Lancaster County, Pennsylvania",Lancaster,1.5,,
"Census Tract 146.02, Lancaster County, Pennsylvania",Lancaster,1,,
"Census Tract 147, Lancaster County, Pennsylvania",Lancaster,5,,
"Census Tract 2, Lancaster County, Pennsylvania",Lancaster,2,,
"Census Tract 3, Lancaster County, Pennsylvania",Lancaster,4.5,,
"Census Tract 4, Lancaster County, Pennsylvania",Lancaster,5,,
"Census Tract 5, Lancaster County, Pennsylvania",Lancaster,4.5,,
"Census Tract 6, Lancaster County, Pennsylvania",Lancaster,4.5,,
"Census Tract 7, Lancaster County, Pennsylvania",Lancaster,4.5,,
"Census Tract 8, Lancaster County, Pennsylvania",Lancaster,5,,
"Census Tract 9, Lancaster County, Pennsylvania",Lancaster,5,,
"Census Tract 1, Lawrence County, Pennsylvania",Lawrence,2,,
"Census Tract 10, Lawrence County, Pennsylvania",Lawrence,3,,
"Census Tract 101, Lawrence County, Pennsylvania",Lawrence,2,,
"Census Tract 102.01, Lawrence County, Pennsylvania",Lawrence,2,,
"Census Tract 102.02, Lawrence County, Pennsylvania",Lawrence,2,,
"Census Tract 103, Lawrence County, Pennsylvania",Lawrence,3,,
"Census Tract 104, Lawrence County, Pennsylvania",Lawrence,2,,
"Census Tract 105, Lawrence County, Pennsylvania",Lawrence,2,,
"Census Tract 106, Lawrence County, Pennsylvania",Lawrence,2,,
"Census Tract 107, Lawrence County, Pennsylvania",Lawrence,2.5,,
"Census Tract 108, Lawrence County, Pennsylvania",Lawrence,1.5,,
"Census Tract 109, Lawrence County, Pennsylvania",Lawrence,2,,
"Census Tract 110, Lawrence County, Pennsylvania",Lawrence,2,,
"Census Tract 111, Lawrence County, Pennsylvania",Lawrence,2.5,,
"Census Tract 112, Lawrence County, Pennsylvania",Lawrence,2,,
"Census Tract 113, Lawrence County, Pennsylvania",Lawrence,1,,
"Census Tract 114, Lawrence County, Pennsylvania",Lawrence,2.5,,
"Census Tract 115, Lawrence County, Pennsylvania",Lawrence,2,,
"Census Tract 116, Lawrence County, Pennsylvania",Lawrence,2,,
"Census Tract 117, Lawrence County, Pennsylvania",Lawrence,2,,
"Census Tract 118, Lawrence County, Pennsylvania",Lawrence,3.5,,
"Census Tract 2, Lawrence County, Pennsylvania",Lawrence,4.5,,
"Census Tract 3, Lawrence County, Pennsylvania",Lawrence,4.5,,
"Census Tract 4, Lawrence County, Pennsylvania",Lawrence,5,,
"Census Tract 6, Lawrence County, Pennsylvania",Lawrence,2.5,,
"Census Tract 7, Lawrence County, Pennsylvania",Lawrence,3.5,,
"Census Tract 8, Lawrence County, Pennsylvania",Lawrence,2,,
"Census Tract 9, Lawrence County, Pennsylvania",Lawrence,5,,
"Census Tract 1, Lebanon County, Pennsylvania",Lebanon,5,,
"Census Tract 2, Lebanon County, Pennsylvania",Lebanon,4.5,,
"Census Tract 20, Lebanon County, Pennsylvania",Lebanon,2.5,,
"Census Tract 21, Lebanon County, Pennsylvania",Lebanon,2,,
"Census Tract 22, Lebanon County, Pennsylvania",Lebanon,2,,
"Census Tract 23, Lebanon County, Pennsylvania",Lebanon,2,,
"Census Tract 24, Lebanon County, Pennsylvania",Lebanon,2,,
"Census Tract 25, Lebanon County, Pennsylvania",Lebanon,3,,
"Census Tract 26, Lebanon County, Pennsylvania",Lebanon,2,,
"Census Tract 27.01, Lebanon County, Pennsylvania",Lebanon,2,,
"Census Tract 27.02, Lebanon County, Pennsylvania",Lebanon,2,,
"Census Tract 28, Lebanon County, Pennsylvania",Lebanon,1,,
"Census Tract 29, Lebanon County, Pennsylvania",Lebanon,3.5,,
"Census Tract 3, Lebanon County, Pennsylvania",Lebanon,5,,
"Census Tract 30, Lebanon County, Pennsylvania",Lebanon,2,,
"Census Tract 31, Lebanon County, Pennsylvania",Lebanon,1.5,,
"Census Tract 32, Lebanon County, Pennsylvania",Lebanon,2,,
"Census Tract 33, Lebanon County, Pennsylvania",Lebanon,2,,
"Census Tract 34, Lebanon County, Pennsylvania",Lebanon,1.5,,
"Census Tract 35, Lebanon County, Pennsylvania",Lebanon,1.5,,
"Census Tract 36, Lebanon County, Pennsylvania",Lebanon,3,,
"Census Tract 37, Lebanon County, Pennsylvania",Lebanon,1.5,,
"Census Tract 38, Lebanon County, Pennsylvania",Lebanon,1,,
"Census Tract 39.01, Lebanon County, Pennsylvania",Lebanon,3.5,,
"Census Tract 39.02, Lebanon County, Pennsylvania",Lebanon,2,,
"Census Tract 4.01, Lebanon County, Pennsylvania",Lebanon,5,,
"Census Tract 4.02, Lebanon County, Pennsylvania",Lebanon,4,,
"Census Tract 40, Lebanon County, Pennsylvania",Lebanon,1,,
"Census Tract 41, Lebanon County, Pennsylvania",Lebanon,1.5,,
"Census Tract 42, Lebanon County, Pennsylvania",Lebanon,1,,
"Census Tract 5, Lebanon County, Pennsylvania",Lebanon,3.5,,
"Census Tract 1.01, Lehigh County, Pennsylvania",Lehigh,2.5,,
"Census Tract 10, Lehigh County, Pennsylvania",Lehigh,5,,
"Census Tract 12, Lehigh County, Pennsylvania",Lehigh,5,,
"Census Tract 14.01, Lehigh County, Pennsylvania",Lehigh,3.5,,
"Census Tract 15.01, Lehigh County, Pennsylvania",Lehigh,3,,
"Census Tract 16, Lehigh County, Pennsylvania",Lehigh,4,,
"Census Tract 18, Lehigh County, Pennsylvania",Lehigh,5,,
"Census Tract 23.01, Lehigh County, Pennsylvania",Lehigh,1.5,,
"Census Tract 4, Lehigh County, Pennsylvania",Lehigh,4.5,,
"Census Tract 51, Lehigh County, Pennsylvania",Lehigh,4,,
"Census Tract 53.01, Lehigh County, Pennsylvania",Lehigh,2,,
"Census Tract 54.01, Lehigh County, Pennsylvania",Lehigh,1,,
"Census Tract 55.03, Lehigh County, Pennsylvania",Lehigh,1,,
"Census Tract 55.05, Lehigh County, Pennsylvania",Lehigh,1,,
"Census Tract 56.01, Lehigh County, Pennsylvania",Lehigh,1.5,,
"Census Tract 56.02, Lehigh County, Pennsylvania",Lehigh,1.5,,
"Census Tract 57.04, Lehigh County, Pennsylvania",Lehigh,2,,
"Census Tract 58, Lehigh County, Pennsylvania",Lehigh,2.5,,
"Census Tract 59.02, Lehigh County, Pennsylvania",Lehigh,1.5,,
"Census Tract 6, Lehigh County, Pennsylvania",Lehigh,4.5,,
"Census Tract 60.02, Lehigh County, Pennsylvania",Lehigh,1.5,,
"Census Tract 61.01, Lehigh County, Pennsylvania",Lehigh,3.5,,
"Census Tract 61.02, Lehigh County, Pennsylvania",Lehigh,1.5,,
"Census Tract 62.02, Lehigh County, Pennsylvania",Lehigh,1,,
"Census Tract 62.03, Lehigh County, Pennsylvania",Lehigh,1,,
"Census Tract 62.04, Lehigh County, Pennsylvania",Lehigh,1,,
"Census Tract 63.02, Lehigh County, Pennsylvania",Lehigh,1,,
"Census Tract 63.03, Lehigh County, Pennsylvania",Lehigh,2.5,,
"Census Tract 63.04, Lehigh County, Pennsylvania",Lehigh,1,,
"Census Tract 63.05, Lehigh County, Pennsylvania",Lehigh,1,,
"Census Tract 63.07, Lehigh County, Pennsylvania",Lehigh,1,,
"Census Tract 63.08, Lehigh County, Pennsylvania",Lehigh,1,,
"Census Tract 64.01, Lehigh County, Pennsylvania",Lehigh,1.5,,
"Census Tract 64.02, Lehigh County, Pennsylvania",Lehigh,1,,
"Census Tract 65, Lehigh County, Pennsylvania",Lehigh,4,,
"Census Tract 66, Lehigh County, Pennsylvania",Lehigh,1,,
"Census Tract 67.01, Lehigh County, Pennsylvania",Lehigh,1.5,,
"Census Tract 67.02, Lehigh County, Pennsylvania",Lehigh,1.5,,
"Census Tract 67.03, Lehigh County, Pennsylvania",Lehigh,1,,
"Census Tract 68, Lehigh County, Pennsylvania",Lehigh,3.5,,
"Census Tract 69.02, Lehigh County, Pennsylvania",Lehigh,3.5,,
"Census Tract 69.03, Lehigh County, Pennsylvania",Lehigh,2,,
"Census Tract 69.05, Lehigh County, Pennsylvania",Lehigh,1,,
"Census Tract 69.06, Lehigh County, Pennsylvania",Lehigh,1,,
"Census Tract 70, Lehigh County, Pennsylvania",Lehigh,1,,
"Census Tract 8, Lehigh County, Pennsylvania",Lehigh,5,,
"Census Tract 9, Lehigh County, Pennsylvania",Lehigh,5,,
"Census Tract 91, Lehigh County, Pennsylvania",Lehigh,4,,
"Census Tract 93, Lehigh County, Pennsylvania",Lehigh,2,,
"Census Tract 94, Lehigh County, Pennsylvania",Lehigh,5,,
"Census Tract 95, Lehigh County, Pennsylvania",Lehigh,3.5,,
"Census Tract 96, Lehigh County, Pennsylvania",Lehigh,4.5,,
"Census Tract 97, Lehigh County, Pennsylvania",Lehigh,5,,
"Census Tract 1.02, Lehigh County, Pennsylvania",Lehigh,2,,
"Census Tract 14.02, Lehigh County, Pennsylvania",Lehigh,1,,
"Census Tract 15.02, Lehigh County, Pennsylvania",Lehigh,1.5,,
"Census Tract 17, Lehigh County, Pennsylvania",Lehigh,3.5,,
"Census Tract 19, Lehigh County, Pennsylvania",Lehigh,4.5,,
"Census Tract 20, Lehigh County, Pennsylvania",Lehigh,5,,
"Census Tract 21, Lehigh County, Pennsylvania",Lehigh,4.5,,
"Census Tract 22.01, Lehigh County, Pennsylvania",Lehigh,2.5,,
"Census Tract 22.02, Lehigh County, Pennsylvania",Lehigh,5,,
"Census Tract 23.02, Lehigh County, Pennsylvania",Lehigh,1,,
"Census Tract 5, Lehigh County, Pennsylvania",Lehigh,4,,
"Census Tract 52, Lehigh County, Pennsylvania",Lehigh,2,,
"Census Tract 53.02, Lehigh County, Pennsylvania",Lehigh,2,,
"Census Tract 54.02, Lehigh County, Pennsylvania",Lehigh,1,,
"Census Tract 55.04, Lehigh County, Pennsylvania",Lehigh,1.5,,
"Census Tract 55.06, Lehigh County, Pennsylvania",Lehigh,1.5,,
"Census Tract 57.02, Lehigh County, Pennsylvania",Lehigh,3,,
"Census Tract 57.03, Lehigh County, Pennsylvania",Lehigh,2.5,,
"Census Tract 57.05, Lehigh County, Pennsylvania",Lehigh,2.5,,
"Census Tract 59.01, Lehigh County, Pennsylvania",Lehigh,4.5,,
"Census Tract 60.01, Lehigh County, Pennsylvania",Lehigh,1,,
"Census Tract 7, Lehigh County, Pennsylvania",Lehigh,5,,
"Census Tract 92, Lehigh County, Pennsylvania",Lehigh,1,,
"Census Tract 1031, Lackawanna County, Pennsylvania",Luzerne,2,,
"Census Tract 2001, Luzerne County, Pennsylvania",Luzerne,5,,
"Census Tract 2002, Luzerne County, Pennsylvania",Luzerne,3.5,,
"Census Tract 2003, Luzerne County, Pennsylvania",Luzerne,1.5,,
"Census Tract 2004, Luzerne County, Pennsylvania",Luzerne,3,,
"Census Tract 2005, Luzerne County, Pennsylvania",Luzerne,5,,
"Census Tract 2006, Luzerne County, Pennsylvania",Luzerne,2.5,,
"Census Tract 2007, Luzerne County, Pennsylvania",Luzerne,4,,
"Census Tract 2008, Luzerne County, Pennsylvania",Luzerne,4,,
"Census Tract 2009, Luzerne County, Pennsylvania",Luzerne,5,,
"Census Tract 2010, Luzerne County, Pennsylvania",Luzerne,5,,
"Census Tract 2011, Luzerne County, Pennsylvania",Luzerne,3,,
"Census Tract 2012, Luzerne County, Pennsylvania",Luzerne,3,,
"Census Tract 2013, Luzerne County, Pennsylvania",Luzerne,3.5,,
"Census Tract 2014, Luzerne County, Pennsylvania",Luzerne,4,,
"Census Tract 2015, Luzerne County, Pennsylvania",Luzerne,2.5,,
"Census Tract 2016, Luzerne County, Pennsylvania",Luzerne,3,,
"Census Tract 2101, Luzerne County, Pennsylvania",Luzerne,1.5,,
"Census Tract 2102, Luzerne County, Pennsylvania",Luzerne,3,,
"Census Tract 2103, Luzerne County, Pennsylvania",Luzerne,2,,
"Census Tract 2104, Luzerne County, Pennsylvania",Luzerne,2,,
"Census Tract 2105, Luzerne County, Pennsylvania",Luzerne,2.5,,
"Census Tract 2106, Luzerne County, Pennsylvania",Luzerne,3.5,,
"Census Tract 2107, Luzerne County, Pennsylvania",Luzerne,3.5,,
"Census Tract 2108, Luzerne County, Pennsylvania",Luzerne,3.5,,
"Census Tract 2109, Luzerne County, Pennsylvania",Luzerne,3,,
"Census Tract 2110, Luzerne County, Pennsylvania",Luzerne,2.5,,
"Census Tract 2111.01, Luzerne County, Pennsylvania",Luzerne,2,,
"Census Tract 2111.02, Luzerne County, Pennsylvania",Luzerne,1,,
"Census Tract 2112.01, Luzerne County, Pennsylvania",Luzerne,1.5,,
"Census Tract 2112.03, Luzerne County, Pennsylvania",Luzerne,1.5,,
"Census Tract 2112.04, Luzerne County, Pennsylvania",Luzerne,2,,
"Census Tract 2112.05, Luzerne County, Pennsylvania",Luzerne,3,,
"Census Tract 2113.01, Luzerne County, Pennsylvania",Luzerne,1,,
"Census Tract 2113.02, Luzerne County, Pennsylvania",Luzerne,1,,
"Census Tract 2113.03, Luzerne County, Pennsylvania",Luzerne,1.5,,
"Census Tract 2113.04, Luzerne County, Pennsylvania",Luzerne,1.5,,
"Census Tract 2114, Luzerne County, Pennsylvania",Luzerne,2,,
"Census Tract 2115, Luzerne County, Pennsylvania",Luzerne,2,,
"Census Tract 2116, Luzerne County, Pennsylvania",Luzerne,3,,
"Census Tract 2117.01, Luzerne County, Pennsylvania",Luzerne,1,,
"Census Tract 2117.02, Luzerne County, Pennsylvania",Luzerne,1,,
"Census Tract 2118, Luzerne County, Pennsylvania",Luzerne,2,,
"Census Tract 2119, Luzerne County, Pennsylvania",Luzerne,3,,
"Census Tract 2120, Luzerne County, Pennsylvania",Luzerne,2.5,,
"Census Tract 2121, Luzerne County, Pennsylvania",Luzerne,2,,
"Census Tract 2122, Luzerne County, Pennsylvania",Luzerne,2,,
"Census Tract 2123, Luzerne County, Pennsylvania",Luzerne,3,,
"Census Tract 2127, Luzerne County, Pennsylvania",Luzerne,3.5,,
"Census Tract 2128, Luzerne County, Pennsylvania",Luzerne,2,,
"Census Tract 2129, Luzerne County, Pennsylvania",Luzerne,2.5,,
"Census Tract 2130, Luzerne County, Pennsylvania",Luzerne,3,,
"Census Tract 2131, Luzerne County, Pennsylvania",Luzerne,4,,
"Census Tract 2132, Luzerne County, Pennsylvania",Luzerne,4.5,,
"Census Tract 2133, Luzerne County, Pennsylvania",Luzerne,2,,
"Census Tract 2134, Luzerne County, Pennsylvania",Luzerne,2,,
"Census Tract 2136, Luzerne County, Pennsylvania",Luzerne,4,,
"Census Tract 2137, Luzerne County, Pennsylvania",Luzerne,3,,
"Census Tract 2138, Luzerne County, Pennsylvania",Luzerne,3.5,,
"Census Tract 2139, Luzerne County, Pennsylvania",Luzerne,1,,
"Census Tract 2140, Luzerne County, Pennsylvania",Luzerne,2,,
"Census Tract 2141, Luzerne County, Pennsylvania",Luzerne,4,,
"Census Tract 2142, Luzerne County, Pennsylvania",Luzerne,4,,
"Census Tract 2143, Luzerne County, Pennsylvania",Luzerne,3,,
"Census Tract 2144, Luzerne County, Pennsylvania",Luzerne,4,,
"Census Tract 2145, Luzerne County, Pennsylvania",Luzerne,2,,
"Census Tract 2146, Luzerne County, Pennsylvania",Luzerne,3,,
"Census Tract 2149, Luzerne County, Pennsylvania",Luzerne,2,,
"Census Tract 2150, Luzerne County, Pennsylvania",Luzerne,2,,
"Census Tract 2151, Luzerne County, Pennsylvania",Luzerne,2,,
"Census Tract 2152, Luzerne County, Pennsylvania",Luzerne,2.5,,
"Census Tract 2153, Luzerne County, Pennsylvania",Luzerne,1,,
"Census Tract 2154, Luzerne County, Pennsylvania",Luzerne,2,,
"Census Tract 2155.01, Luzerne County, Pennsylvania",Luzerne,2,,
"Census Tract 2155.02, Luzerne County, Pennsylvania",Luzerne,1,,
"Census Tract 2155.03, Luzerne County, Pennsylvania",Luzerne,1,,
"Census Tract 2155.04, Luzerne County, Pennsylvania",Luzerne,1,,
"Census Tract 2156, Luzerne County, Pennsylvania",Luzerne,3.5,,
"Census Tract 2157.01, Luzerne County, Pennsylvania",Luzerne,1,,
"Census Tract 2157.02, Luzerne County, Pennsylvania",Luzerne,1.5,,
"Census Tract 2158, Luzerne County, Pennsylvania",Luzerne,1,,
"Census Tract 2159, Luzerne County, Pennsylvania",Luzerne,2,,
"Census Tract 2160, Luzerne County, Pennsylvania",Luzerne,3.5,,
"Census Tract 2161, Luzerne County, Pennsylvania",Luzerne,1.5,,
"Census Tract 2162, Luzerne County, Pennsylvania",Luzerne,2,,
"Census Tract 2164, Luzerne County, Pennsylvania",Luzerne,2,,
"Census Tract 2165.01, Luzerne County, Pennsylvania",Luzerne,1.5,,
"Census Tract 2165.02, Luzerne County, Pennsylvania",Luzerne,1,,
"Census Tract 2166, Luzerne County, Pennsylvania",Luzerne,1.5,,
"Census Tract 2167, Luzerne County, Pennsylvania",Luzerne,3,,
"Census Tract 2168, Luzerne County, Pennsylvania",Luzerne,1.5,,
"Census Tract 2169, Luzerne County, Pennsylvania",Luzerne,1.5,,
"Census Tract 2170.01, Luzerne County, Pennsylvania",Luzerne,1.5,,
"Census Tract 2170.02, Luzerne County, Pennsylvania",Luzerne,4,,
"Census Tract 2171, Luzerne County, Pennsylvania",Luzerne,3,,
"Census Tract 2172, Luzerne County, Pennsylvania",Luzerne,4.5,,
"Census Tract 2173, Luzerne County, Pennsylvania",Luzerne,2,,
"Census Tract 2174, Luzerne County, Pennsylvania",Luzerne,5,,
"Census Tract 2175, Luzerne County, Pennsylvania",Luzerne,4,,
"Census Tract 2176, Luzerne County, Pennsylvania",Luzerne,4,,
"Census Tract 2177, Luzerne County, Pennsylvania",Luzerne,2.5,,
"Census Tract 2178, Luzerne County, Pennsylvania",Luzerne,3,,
"Census Tract 2179, Luzerne County, Pennsylvania",Luzerne,2.5,,
"Census Tract 2180, Luzerne County, Pennsylvania",Luzerne,4,,
"Census Tract 1, Lycoming County, Pennsylvania",Lycoming,3,,
"Census Tract 10, Lycoming County, Pennsylvania",Lycoming,3.5,,
"Census Tract 101, Lycoming County, Pennsylvania",Lycoming,1.5,,
"Census Tract 102, Lycoming County, Pennsylvania",Lycoming,1,,
"Census Tract 103, Lycoming County, Pennsylvania",Lycoming,1,,
"Census Tract 104, Lycoming County, Pennsylvania",Lycoming,1.5,,
"Census Tract 105, Lycoming County, Pennsylvania",Lycoming,1,,
"Census Tract 106, Lycoming County, Pennsylvania",Lycoming,2,,
"Census Tract 107, Lycoming County, Pennsylvania",Lycoming,2,,
"Census Tract 108, Lycoming County, Pennsylvania",Lycoming,2,,
"Census Tract 109, Lycoming County, Pennsylvania",Lycoming,1.5,,
"Census Tract 110, Lycoming County, Pennsylvania",Lycoming,2,,
"Census Tract 111, Lycoming County, Pennsylvania",Lycoming,3,,
"Census Tract 112, Lycoming County, Pennsylvania",Lycoming,2,,
"Census Tract 113.01, Lycoming County, Pennsylvania",Lycoming,2.5,,
"Census Tract 113.02, Lycoming County, Pennsylvania",Lycoming,2,,
"Census Tract 114, Lycoming County, Pennsylvania",Lycoming,1.5,,
"Census Tract 116.01, Lycoming County, Pennsylvania",Lycoming,1.5,,
"Census Tract 116.02, Lycoming County, Pennsylvania",Lycoming,3,,
"Census Tract 117, Lycoming County, Pennsylvania",Lycoming,2,,
"Census Tract 118, Lycoming County, Pennsylvania",Lycoming,1,,
"Census Tract 119, Lycoming County, Pennsylvania",Lycoming,3,,
"Census Tract 2, Lycoming County, Pennsylvania",Lycoming,2,,
"Census Tract 3, Lycoming County, Pennsylvania",Lycoming,4,,
"Census Tract 4, Lycoming County, Pennsylvania",Lycoming,5,,
"Census Tract 5, Lycoming County, Pennsylvania",Lycoming,4,,
"Census Tract 6, Lycoming County, Pennsylvania",Lycoming,3.5,,
"Census Tract 8, Lycoming County, Pennsylvania",Lycoming,5,,
"Census Tract 9, Lycoming County, Pennsylvania",Lycoming,3,,
"Census Tract 4201, McKean County, Pennsylvania",McKean,1.5,,
"Census Tract 4202, McKean County, Pennsylvania",McKean,5,,
"Census Tract 4203, McKean County, Pennsylvania",McKean,4.5,,
"Census Tract 4204, McKean County, Pennsylvania",McKean,2.5,,
"Census Tract 4205, McKean County, Pennsylvania",McKean,1,,
"Census Tract 4206, McKean County, Pennsylvania",McKean,2,,
"Census Tract 4207, McKean County, Pennsylvania",McKean,2,,
"Census Tract 4208, McKean County, Pennsylvania",McKean,2,,
"Census Tract 4209, McKean County, Pennsylvania",McKean,2,,
"Census Tract 4210, McKean County, Pennsylvania",McKean,2,,
"Census Tract 4211, McKean County, Pennsylvania",McKean,3,,
"Census Tract 4212, McKean County, Pennsylvania",McKean,2,,
"Census Tract 303, Mercer County, Pennsylvania",Mercer,4,,
"Census Tract 304, Mercer County, Pennsylvania",Mercer,2,,
"Census Tract 309, Mercer County, Pennsylvania",Mercer,2,,
"Census Tract 311, Mercer County, Pennsylvania",Mercer,4.5,,
"Census Tract 312, Mercer County, Pennsylvania",Mercer,1,,
"Census Tract 317, Mercer County, Pennsylvania",Mercer,2,,
"Census Tract 318, Mercer County, Pennsylvania",Mercer,1.5,,
"Census Tract 319, Mercer County, Pennsylvania",Mercer,2,,
"Census Tract 321, Mercer County, Pennsylvania",Mercer,5,,
"Census Tract 322, Mercer County, Pennsylvania",Mercer,2.5,,
"Census Tract 324, Mercer County, Pennsylvania",Mercer,2.5,,
