,index,tract_id_proper,ci_score,op_score,so,srb,shs,chc,County FIPS Code,tract,tract_id
133,197,11,3.5,3.4375,0.1594583333333334,0.36001666666666676,0.4013249999999999,0.0025,71,42071001100,001100
134,198,11.01,3.0,4.916666666666667,0.10526666666666668,0.34349999999999997,0.4373666666666667,0.01,101,42101001101,001101
135,199,11.02,3.0,5.083333333333333,0.1225,0.4022333333333334,0.3865,0.006666666666666667,101,42101001102,001102
136,200,110,3.388888888888889,3.612857142857143,0.17508571428571423,0.3158214285714281,0.2607642857142854,0.0021428571428571434,27,42027011000,011000
137,201,110.01,2.25,3.1875,0.188125,0.31327499999999997,0.25439999999999996,0.0,49,42049011001,011001
138,202,110.02,2.8333333333333335,3.4285714285714284,0.19278571428571428,0.3187571428571429,0.19588571428571433,0.0028571428571428576,13,42013011002,011002
139,203,1101,2.0,3.0555555555555554,0.16926666666666668,0.27409999999999995,0.3942,0.0022222222222222222,39,42039110100,110100
140,204,1102,2.5,3.25,0.18445,0.4144,0.3054,0.005,3,42003110200,110200
141,205,1102.01,1.25,3.4166666666666665,0.16919166666666663,0.2863666666666667,0.386325,0.0008333333333333334,39,42039110201,110201
142,206,1102.02,2.25,3.607142857142857,0.1842857142857143,0.27754285714285715,0.3227857142857143,0.0,69,42069110202,110202
143,207,1103,1.5,3.625,0.17112500000000003,0.2896375,0.3449,0.0,39,42039110300,110300
144,208,1104,2.0,3.125,0.20904999999999999,0.2722,0.2821,0.0,39,42039110400,110400
145,209,1104.01,1.0,3.75,0.1980666666666667,0.2995333333333334,0.33116666666666666,0.0,69,42069110401,110401
146,210,1104.02,1.0,4.1875,0.1965,0.319075,0.367825,0.0,69,42069110402,110402
147,211,1104.03,1.0,3.75,0.1980666666666667,0.2995333333333334,0.33116666666666666,0.0,69,42069110403,110403
148,212,1105,2.0,3.875,0.19640000000000002,0.29585,0.27754999999999996,0.0,69,42069110500,110500
149,213,1105.01,1.5,3.0833333333333335,0.22013333333333332,0.26966666666666667,0.2517,0.0,39,42039110501,110501
150,214,1105.02,2.0,3.0833333333333335,0.20423333333333335,0.2671333333333333,0.2647,0.0,39,42039110502,110502
151,215,1106,1.8333333333333333,3.2916666666666665,0.18723333333333336,0.32223333333333337,0.3890333333333332,0.0016666666666666666,69,42069110600,110600
152,216,1107,2.75,3.05,0.17039999999999997,0.2818600000000001,0.36552,0.0,39,42039110700,110700
153,217,1108,2.75,3.0,0.16899999999999996,0.27901111111111115,0.38160000000000005,0.0011111111111111111,39,42039110800,110800
154,218,1109,2.5,3.0,0.17079999999999998,0.27836666666666665,0.42758333333333337,0.0016666666666666668,39,42039110900,110900
155,219,111,3.0,3.444285714285716,0.1688333333333335,0.3678809523809526,0.3489904761904758,0.0019047619047619056,73,42073011100,011100
156,220,111.01,1.6666666666666667,3.392857142857143,0.17361428571428575,0.3399857142857143,0.19008571428571427,0.0,41,42041011101,011101
157,221,111.02,1.3333333333333333,3.492,0.18274000000000007,0.3737400000000001,0.18325999999999995,0.0,41,42041011102,011102
158,222,1110,2.5,3.3333333333333335,0.1876,0.2715666666666667,0.3945666666666667,0.0033333333333333335,39,42039111000,111000
159,223,1111,3.5,3.375,0.2091666666666667,0.3168,0.3984666666666667,0.0033333333333333335,69,42069111100,111100
160,224,1112,3.25,3.3333333333333335,0.22753333333333337,0.34123333333333333,0.38166666666666665,0.0033333333333333335,69,42069111200,111200
161,225,1113,2.6666666666666665,3.1785714285714284,0.15678571428571425,0.3232999999999999,0.37228571428571433,0.0014285714285714286,39,42039111300,111300
162,226,1114,3.1666666666666665,3.2083333333333335,0.17796666666666666,0.3612333333333333,0.4452499999999999,0.0016666666666666666,3,42003111400,111400
163,227,1115,4.0,3.4583333333333335,0.17125,0.36921666666666664,0.4434833333333333,0.0016666666666666666,3,42003111500,111500
164,228,1116,4.0,3.1,0.1862,0.36839999999999995,0.43626,0.0,69,42069111600,111600
165,229,1117,2.25,3.25,0.19126666666666667,0.2836,0.4072,0.0,69,42069111700,111700
166,230,1118,1.5,3.607142857142857,0.19628571428571426,0.3035285714285715,0.20927142857142852,0.004285714285714286,69,42069111800,111800
167,231,1119,2.0,3.0714285714285716,0.20205714285714288,0.23025714285714288,0.27412857142857144,0.002857142857142857,39,42039111900,111900
168,232,112,3.3,3.355333333333333,0.1749400000000004,0.33218666666666624,0.3085799999999998,0.0013333333333333335,13,42013011200,011200
